comedy;drama;action
1289401;2119532;1431045
1292566;2543164;2975590
1473832;3783958;1386697
1489889;3315342;3498820
1608290;3263904;3315342
1679335;4034228;1211837
1700841;3040964;2948356
1711525;3741834;3748528
1860213;2140479;3385516
1878870;1179933;3110958
1985949;1355644;4196776
2005151;4550098;4425200
2277860;2582782;3896198
2387499;4975722;2404435
2709768;2674426;3731562
2823054;2005151;1860357
2869728;4846340;4630562
2937696;1860357;803096
3110958;3640424;2660888
3381008;3553976;3640424
3470600;2241351;3300542
3521164;4052882;918940
3553442;2671706;2094766
3783958;3774114;5700672
3874544;5512872;1289401
4034354;4172430;1628841
4048272;3544112;3393786
4136084;4513674;4172430
4139124;490215;4094724
4438848;1619029;2025690
4501244;4572514;4116284
4513674;1878870;3381008
4624424;1083452;1219827
4651520;2025690;1972591
4698684;1219827;2381991
4901306;1972591;2034800
5247022;4276820;2267968
5512872;2381991;2869728